Number of jobs ,Solution,Objective Value,total Nodes pushed in heap,processing time
10,"[0, 1, 2, 9, 7, 4, 3, 5, 8, 6]",547,5,0.028327
20,"[0, 1, 11, 14, 12, 10, 7, 2, 15, 4, 9, 3, 18, 16, 19, 5, 8, 13, 17, 6]",1807,20,0.993702
30,"[0, 1, 11, 14, 12, 24, 10, 7, 21, 2, 23, 15, 4, 9, 22, 3, 18, 25, 27, 28, 16, 20, 19, 26, 5, 8, 29, 13, 17, 6]",4039,16,0.664037
40,"[0, 1, 11, 14, 12, 24, 37, 21, 7, 31, 35, 32, 10, 34, 39, 2, 23, 15, 4, 9, 22, 3, 18, 25, 27, 28, 16, 20, 36, 19, 26, 5, 33, 8, 29, 13, 17, 30, 6, 38]",6588,76,5.634821
50,"[0, 1, 47, 11, 14, 37, 48, 24, 41, 7, 32, 35, 31, 12, 10, 21, 34, 39, 40, 2, 23, 15, 4, 9, 42, 22, 43, 49, 3, 18, 25, 27, 28, 16, 20, 36, 19, 26, 45, 46, 5, 33, 8, 29, 13, 17, 30, 44, 6, 38]",9914,82,9.895293
60,"[0, 1, 47, 11, 14, 37, 48, 24, 41, 7, 54, 31, 35, 12, 32, 10, 21, 34, 39, 40, 2, 23, 56, 15, 4, 9, 42, 50, 51, 22, 59, 43, 49, 3, 18, 25, 27, 28, 16, 20, 36, 19, 26, 45, 46, 26, 5, 33, 5, 58, 8, 29, 8, 13, 17, 30, 44, 6, 38, 52]",14892,79,12.234931
70,"[0, 1, 47, 11, 14, 61, 37, 65, 24, 48, 7, 54, 41, 35, 31, 12, 32, 10, 21, 64, 67, 34, 39, 40, 2, 23, 56, 15, 4, 9, 42, 50, 51, 22, 59, 60, 62, 43, 49, 3, 18, 25, 27, 28, 63, 63, 16, 20, 36, 19, 26, 45, 46, 26, 5, 33, 5, 58, 66, 8, 29, 8, 13, 17, 30, 44, 68, 6, 38, 52]",19717,62,14.545298
80,"[0, 1, 47, 11, 48, 75, 61, 65, 24, 37, 78, 72, 7, 54, 35, 31, 41, 12, 14, 32, 10, 21, 64, 67, 73, 34, 39, 40, 2, 23, 56, 70, 15, 4, 9, 42, 50, 51, 22, 59, 60, 62, 43, 49, 3, 18, 25, 27, 28, 63, 63, 77, 16, 20, 36, 74, 19, 26, 45, 46, 26, 76, 5, 33, 5, 58, 66, 66, 79, 8, 29, 8, 13, 17, 30, 44, 68, 6, 38, 52]",25260,68,20.649705
90,"[0, 1, 47, 11, 48, 75, 61, 65, 24, 37, 78, 72, 7, 87, 35, 41, 54, 83, 31, 12, 14, 32, 10, 21, 64, 67, 73, 34, 39, 40, 82, 86, 2, 23, 56, 70, 15, 4, 9, 42, 50, 51, 89, 22, 59, 60, 62, 43, 49, 3, 18, 81, 25, 27, 28, 63, 63, 77, 16, 20, 36, 74, 84, 19, 26, 45, 46, 26, 76, 5, 33, 5, 58, 66, 66, 79, 80, 8, 29, 8, 85, 13, 17, 30, 44, 68, 88, 6, 38, 52]",32122,74,24.760222
100,"[0, 1, 47, 11, 91, 92, 61, 37, 65, 24, 78, 75, 72, 7, 87, 35, 41, 48, 54, 83, 31, 12, 14, 32, 10, 21, 64, 67, 73, 34, 39, 40, 82, 86, 2, 23, 56, 70, 90, 15, 98, 99, 4, 9, 42, 50, 51, 89, 22, 59, 60, 62, 93, 43, 49, 3, 18, 81, 94, 25, 27, 28, 63, 63, 77, 16, 20, 36, 74, 84, 19, 26, 45, 46, 26, 76, 95, 5, 33, 5, 58, 66, 66, 79, 80, 96, 8, 29, 8, 85, 13, 17, 30, 44, 68, 88, 6, 38, 52, 97]",39463,79,31.744749
